applicant_id,application_date,age,gender,education_level,employment_type,marital_status,family_size,number_of_dependents,location_type,monthly_income_inr,spouse_income_inr,monthly_expenses_inr,monthly_savings_inr,monthly_utility_bills_inr,property_value_inr,vehicle_value_inr,total_investments_inr,outstanding_loan_amount_inr,loan_amount_applied_inr,years_current_employment,banking_relationship_years,monthly_business_revenue_inr,daily_mobile_hours,monthly_digital_transactions,avg_transaction_amount_inr,social_media_accounts_count,mobile_app_usage_intensity_score,digital_payment_adoption_score,utility_payment_regularity_score,location_stability_score,mobile_banking_usage_score,payment_reliability_score,financial_health_score,stability_index,timeliness_score,repayment_ability_score,loan_type,interest_rate,probability_of_default,consent_status,city,risk_category
F1864,2025-04-14,28,Male,Graduate,Salaried,Married,3,1,Tier2,96910,0,53220,42645,7416,0,347217,918966,180395,469746,4.0,10.0,0,8.0,62,1331,5,71,89,92,120,95,59,79,59,95,64,personal loan,18.21,0.013556015486557452,Full Consent,Vapi,Low Risk
B5638,2024-08-06,36,Male,Post Graduate,Salaried,Married,4,2,Tier2,126358,77178,58852,65660,11960,4569323,493982,628869,142294,2000000,29.2,18.0,0,7.8,30,7338,2,50,60,95,120,95,78,95,90,95,90,personal loan,17.32,0.04560996596582579,Full Consent,Nadiad,Low Risk
F4101,2024-10-30,42,Female,Graduate,Business Owner,Married,4,2,Tier1,81243,46651,41336,37264,16672,3223714,572232,682071,103675,7799328,24.5,24.0,132335,7.3,26,2420,4,54,78,95,120,95,41,35,54,42,8,home loan,10.21,0.6904235481439427,Full Consent,Jamnagar,Very High Risk
C3777,2025-04-08,40,Male,Professional,Salaried,Married,5,3,Tier2,76503,59527,36906,37457,24069,0,0,358170,114840,2000000,20.6,22.0,0,6.4,34,6517,4,68,45,95,120,95,86,64,69,95,68,education loan,11.14,0.01376691135079515,Full Consent,Vapi,Low Risk
D4005,2025-02-22,28,Female,Post Graduate,Business Owner,Married,2,0,Tier2,68134,17080,18200,49434,9404,0,318652,240887,190006,1500000,11.0,10.0,85107,10.8,62,1912,4,87,73,95,120,95,95,76,80,91,90,auto loan,11.34,0.0855075139808356,Full Consent,Godhra,Low Risk
C3663,2025-04-04,28,Male,Post Graduate,Professional,Married,4,2,Tier2,60000,0,36916,20547,27379,0,130831,223576,80032,2000000,10.4,10.0,0,8.9,62,2177,5,91,91,94,120,95,65,46,59,74,47,personal loan,17.32,0.33915637795985626,Full Consent,Godhra,Medium Risk
D5446,2025-03-06,55,Female,Post Graduate,Salaried,Married,3,1,Tier2,89196,26483,42168,43506,15016,6626251,398871,3229597,103602,8000000,35.0,1.9,0,4.7,10,13797,1,26,53,93,120,91,32,26,52,26,18,home loan,9.49,0.707814532710802,Full Consent,Porbandar,Very High Risk
F8120,2025-07-12,40,Male,Professional,Professional,Married,5,3,Tier2,104512,46249,43494,60688,10284,5746476,229518,810953,183907,2000000,26.2,22.0,0,7.2,24,5778,3,42,74,95,120,95,77,95,90,95,90,personal loan,18.97,0.17251891256643193,Full Consent,Anand,Low Risk
D8192,2025-01-14,37,Female,Post Graduate,Professional,Married,2,0,Metro,60000,0,33302,23003,10909,0,0,540439,209040,2000000,0.5,19.0,0,4.1,23,5003,4,72,54,95,120,86,27,47,25,46,27,personal loan,17.53,0.5602428478600712,Full Consent,Gandhinagar,High Risk
C2772,2024-08-01,65,Female,Professional,Salaried,Married,4,2,Tier2,60000,0,24458,33283,19025,0,256311,0,187665,325022,10.3,9.8,0,2.5,10,10485,3,44,30,95,120,76,85,57,66,94,61,personal loan,17.35,0.09694597077946278,Full Consent,Veraval,Low Risk
